Customer Name,Store Name,Amount,Transaction Time
Olivia,Urban_Outfitters,1152,8/10/2014
Olivia,RadioShack,1884,8/1/2014
Paul,Apple_Store,1021,7/18/2014
Marc,Apple_Store,1914,7/18/2014
Olivia,Apple_Store,1149,7/18/2014
Madison,Apple_Store,1925,7/18/2014
Madison,Urban_Outfitters,1374,7/10/2014
Madison,RadioShack,1368,7/1/2014
Paul,Urban_Outfitters,1732,5/10/2014
Marc,Urban_Outfitters,1424,5/10/2014
Paul,RadioShack,1415,4/1/2014
Marc,RadioShack,1721,4/1/2014
Paul,Macys,1849,12/20/2014
Marc,Macys,1003,12/20/2014
Olivia,Macys,1790,12/20/2014
Madison,Macys,1816,12/20/2014
